p_within;p_between;avg_spike_counts;std_spike_counts
0.1;0.05;0.0;0.0
0.2;0.05;0.0;0.0
0.2;0.15000000000000002;0.0;0.0
0.30000000000000004;0.05;0.0;0.0
0.30000000000000004;0.15000000000000002;0.0;0.0
0.30000000000000004;0.25000000000000006;0.0;0.0
0.4;0.05;0.0;0.0
0.4;0.15000000000000002;0.0;0.0
0.4;0.25000000000000006;0.0;0.0
0.4;0.35000000000000003;0.0;0.0
0.5;0.05;0.0;0.0
0.5;0.15000000000000002;0.0;0.0
0.5;0.25000000000000006;0.0;0.0
0.5;0.35000000000000003;0.0;0.0
0.5;0.45000000000000007;1.54;0.0
0.6;0.05;0.0;0.0
0.6;0.15000000000000002;0.0;0.0
0.6;0.25000000000000006;0.0;0.0
0.6;0.35000000000000003;0.2;0.0
0.6;0.45000000000000007;2.38;0.0
0.6;0.5500000000000002;6.76;0.0
0.7000000000000001;0.05;0.0;0.0
0.7000000000000001;0.15000000000000002;0.0;0.0
0.7000000000000001;0.25000000000000006;0.0;0.0
0.7000000000000001;0.35000000000000003;0.14;0.0
0.7000000000000001;0.45000000000000007;1.58;0.0
0.7000000000000001;0.5500000000000002;7.04;0.0
0.7000000000000001;0.6500000000000001;11.38;0.0
0.8;0.05;0.0;0.0
0.8;0.15000000000000002;0.0;0.0
0.8;0.25000000000000006;0.0;0.0
0.8;0.35000000000000003;0.38;0.0
0.8;0.45000000000000007;2.8;0.0
0.8;0.5500000000000002;6.24;0.0
0.8;0.6500000000000001;12.26;0.0
0.8;0.7500000000000002;17.72;0.0
0.9;0.05;0.0;0.0
0.9;0.15000000000000002;0.0;0.0
0.9;0.25000000000000006;0.0;0.0
0.9;0.35000000000000003;0.78;0.0
0.9;0.45000000000000007;2.68;0.0
0.9;0.5500000000000002;6.12;0.0
0.9;0.6500000000000001;12.22;0.0
0.9;0.7500000000000002;17.2;0.0
0.9;0.8500000000000002;18.3;0.0
1.0;0.05;0.0;0.0
1.0;0.15000000000000002;0.0;0.0
1.0;0.25000000000000006;0.0;0.0
1.0;0.35000000000000003;0.56;0.0
1.0;0.45000000000000007;3.9;0.0
1.0;0.5500000000000002;10.4;0.0
1.0;0.6500000000000001;12.7;0.0
1.0;0.7500000000000002;17.88;0.0
1.0;0.8500000000000002;19.9;0.0
1.0;0.9500000000000002;19.98;0.0
